Table Names-1,Table Names,Linkedin URL,Other Contact ,Contact/ Admin Contact,Company Mail,Other Contact,Contact,Job CTC,Contact ,Career  Contact,S No,Company Name,Location,Source,Post URL,HR Mail,HR Contact,Company URL,Google-Contact,Job Role,Career Contact,Career Mail,Linkedin Contact,HR Name
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,1,Accenture,"Hyderabad, Telangana,",Linkedin,linkedin.com/in/usha-shree-m-77a733191,,,https://www.accenture.com/in-en,,Application Developer,9.14068e+11,,9.14067e+11,Usha shree M
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,2,SingleStore,"Hyderabad, Telangana,",Linkedin,"linkedin.com/in/ganeshgudaru,linkedin.com/in/werainrana",,,https://www.singlestore.com/,,"Site Reliability Engineer, Managed Service",1.80012e+12,team@singlestore.com.,(855) 463-6775,"Ganesh Gudaru ,Virendra Rana"
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,3,Enigma Metaverse,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3386988532/?alternateChannel=search&refId=Hgka5Lc1f3E7wCsdIUuTdQ%3D%3D&trackingId=Vw%2F8my9tPnGt%2FgW4e5RxDg%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.enigmametaverse.org/,,Pega Developer,,"
info@enigmametaverse.org",,Harsha vardhan Dakur
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,4,Navtech,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3420197499/?alternateChannel=search&refId=Hgka5Lc1f3E7wCsdIUuTdQ%3D%3D&trackingId=SL0nrrBPWCpEO4LWQ1qjjA%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.navtech.io,,Python Developer,1 425 230 0690,info@navtech.io,1(206)201-2626,Shruti Gupta
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,5,Cognizant,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3271096208/?alternateChannel=search&refId=Hgka5Lc1f3E7wCsdIUuTdQ%3D%3D&trackingId=YLSKULh1C5yBd5W2EKB6Jw%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.cognizant.com,,Software Engineer,,talentattractteam@cognizant.com,,SandhyaRani Vemula
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,6,Nisum,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3399219024/?alternateChannel=search&refId=Hgka5Lc1f3E7wCsdIUuTdQ%3D%3D&trackingId=qvJv4b2X2G3IXaQQoPPjJw%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.nisum.com/about-us,,Big Data Engineer - E4212,91 72 0715 9966,,91 72 0715 9966,Saiprasad reddy
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,7,Tech Mahindra Business Services,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3406486481/?alternateChannel=search&refId=Hgka5Lc1f3E7wCsdIUuTdQ%3D%3D&trackingId=RWcWNBOV2rczTFctDwCJHA%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.techmbs.in/,,JUNIOR PYTHON DEVELOPER,91 (22) 4907 6401,,91 (22) 4907 4340,AKSHITA SAYAM
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,8,Jade Global,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3198628166/?alternateChannel=search&refId=Hgka5Lc1f3E7wCsdIUuTdQ%3D%3D&trackingId=rGLoCPaxfJVijvPwBh2EdA%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.jadeglobal.com,,ServiceNow Developer,,,1-408-899-7200,Neha Harodia
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,9,HighRadius,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3335986873/?alternateChannel=search&refId=Hgka5Lc1f3E7wCsdIUuTdQ%3D%3D&trackingId=DSZP9LH%2F9WwYulG8HWaYwA%3D%3D&trk=d_flagship3_search_srp_jobs,,,https://www.highradius.com,,Database Engineer,040 4569 4500,,(281) 968-4473,Divya Bharathi
"Intership Dataset.xlsx/MN,Intership Dataset.xlsx/HM,Intership Dataset.xlsx/MS,Intership Dataset.xlsx/SK",Intership Dataset.xlsx/HM,,,,,,,,,,10,Mindtree,"Hyderabad, Telangana,",Linkedin,https://www.linkedin.com/jobs/view/3405220858/?alternateChannel=search&refId=Hgka5Lc1f3E7wCsdIUuTdQ%3D%3D&trackingId=IoA5gtxYtmp5dh6jkjn4dw%3D%3D&trk=d_flagship3_search_srp_jobs,poornima.p@mindtree.com,,http://www.ltimindtree.com,,Azure AD Engineer,91 80 67064000,info@mindtree.com,1 (908) 604-8080,Poornima Palanisamy
